################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9338294145252281E-01 a         1     0     1     1     1
 -2.4313667196432159E-01 a         2     0     1     1     2
 -2.6905202734855577E-01 a         3     0     1     1     3
 -1.9080179587233756E-01 a         4     0     1     1     4
 -1.7327795626572062E-01 a         5     0     1     1     5
 -1.0220316222577810E+00 a         6     0     1     1     6
  7.0408307483256938E-01 a         7     0     1     1     7
 -5.6837338248957114E-01 a         8     0     1     1     8
  5.3881245307680281E-01 a         9     0     1     1     9
 -9.8043517916801637E-01 a        10     0     1     1    10
 -6.5484077458011547E-02 a        11     0     1     1    11
 -4.0741037592452839E-01 a        12     0     1     1    12
 -1.7006229268273101E-01 a        13     0     1     1    13
  6.7767827319320284E-01 a        14     0     1     1    14
  1.7141889053026255E-01 a        15     0     1     1    15
 -4.9874887230828835E-01 a        16     0     1     1    16
  5.7104048932119245E-01 a        17     0     1     1    17
 -1.7876865272781237E-01 a        18     0     1     1    18
  1.0227922419499120E+00 a        19     0     1     1    19
 -5.5553395131511119E-01 a        20     0     1     1    20
 -1.1373697036120128E-01 a        21     0     2     1     1
  6.8387375815680870E-02 a        22     0     2     1     2
  5.8010753103007679E-03 a        23     0     2     1     3
 -1.4083063511274493E-01 a        24     0     2     1     4
 -1.2219238709255785E-01 a        25     0     2     1     5
  1.5723057245899905E-01 a        26     0     2     1     6
  3.4801439371097982E-02 a        27     0     2     1     7
  5.5042924352984919E-02 a        28     0     2     1     8
 -5.3429965926591327E-02 a        29     0     2     1     9
  2.4046800636122026E-04 a        30     0     2     1    10
