################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4072876104612389E-01 a         1     0     1     1     1
  6.9050742630660245E-02 a         2     0     1     1     2
  1.7287386904821306E-01 a         3     0     1     1     3
  1.2101259663562736E-01 a         4     0     1     1     4
 -1.4443746008507233E-01 a         5     0     1     1     5
 -1.3157937525321354E-02 a         6     0     1     1     6
  2.5947544024386171E-01 a         7     0     1     1     7
 -4.4724949217331937E-02 a         8     0     1     1     8
 -1.3844291290097555E-01 a         9     0     1     1     9
 -4.6712822448876257E-02 a        10     0     1     1    10
  1.0808775114089116E-02 a        11     0     1     1    11
 -8.3694837279686074E-02 a        12     0     1     1    12
  2.5401185031556313E-02 a        13     0     1     1    13
  2.0592240041021828E-01 a        14     0     1     1    14
  1.0735594847957942E-01 a        15     0     1     1    15
  5.2318287296434840E-02 a        16     0     1     1    16
 -2.7321979145202675E-04 a        17     0     1     1    17
 -1.9866243363636951E-01 a        18     0     1     1    18
 -2.3772000261460279E-02 a        19     0     1     1    19
  1.8452275026354240E-01 a        20     0     1     1    20
 -2.0751655568778923E-01 a        21     0     2     1     1
 -4.2038151187752437E-01 a        22     0     2     1     2
  2.5856717887392366E-01 a        23     0     2     1     3
  1.8511481041646100E-01 a        24     0     2     1     4
  4.3450068233875899E-01 a        25     0     2     1     5
  5.6847005414434015E-01 a        26     0     2     1     6
  6.9494033651268383E-02 a        27     0     2     1     7
  1.0292667601047908E-01 a        28     0     2     1     8
 -6.7068802363576596E-01 a        29     0     2     1     9
  9.8187396091178200E-02 a        30     0     2     1    10
  5.7206617739376842E-01 a        31     0     2     1    11
  1.0942076455960213E-01 a        32     0     2     1    12
 -1.5504569456750289E-01 a        33     0     2     1    13
  3.7734517013845015E-01 a        34     0     2     1    14
 -2.5181121749394092E-01 a        35     0     2     1    15
 -5.3252163323653741E-02 a        36     0     2     1    16
  6.4006403130881838E-03 a        37     0     2     1    17
 -6.2183559297187629E-01 a        38     0     2     1    18
 -7.5107790850850598E-01 a        39     0     2     1    19
  4.7842785774371135E-02 a        40     0     2     1    20
  8.0807174792360478E-02 a        41     0     3     1     1
  1.5126776648938531E-01 a        42     0     3     1     2
  1.7640919325188564E-01 a        43     0     3     1     3
 -7.9718826003185944E-02 a        44     0     3     1     4
 -1.3169419353770606E-01 a        45     0     3     1     5
 -6.0041101400134182E-02 a        46     0     3     1     6
  2.4157956116268181E-01 a        47     0     3     1     7
  2.2550767837962396E-01 a        48     0     3     1     8
 -1.9804783877746410E-02 a        49     0     3     1     9
  1.5294951806256873E-01 a        50     0     3     1    10
 -1.6900443946047370E-03 a        51     0     3     1    11
  2.0538474246958191E-01 a        52     0     3     1    12
  1.7154640258056231E-01 a        53     0     3     1    13
 -2.7696835405148532E-02 a        54     0     3     1    14
 -7.1063397944724133E-02 a        55     0     3     1    15
 -3.0713592437842049E-02 a        56     0     3     1    16
 -2.5001811993193601E-01 a        57     0     3     1    17
  1.5479217132398807E-02 a        58     0     3     1    18
 -1.4153804702844730E-01 a        59     0     3     1    19
  1.1621917203129976E-01 a        60     0     3     1    20
  1.2588193654315633E-01 a        61     0     4     1     1
  1.9276481961323438E-01 a        62     0     4     1     2
  1.1777037947078695E-01 a        63     0     4     1     3
 -1.3708827455143396E-01 a        64     0     4     1     4
  3.3460104834635695E-03 a        65     0     4     1     5
 -2.9636542852991034E-03 a        66     0     4     1     6
  4.7008243950955153E-02 a        67     0     4     1     7
  8.6376458787249602E-02 a        68     0     4     1     8
 -1.4175923528656596E-02 a        69     0     4     1     9
 -1.2811014537057677E-01 a        70     0     4     1    10
  6.0217397443587686E-02 a        71     0     4     1    11
  4.2544902746316834E-03 a        72     0     4     1    12
  1.3198033453564769E-02 a        73     0     4     1    13
  1.1224473496429381E-01 a        74     0     4     1    14
  1.8423365422614646E-01 a        75     0     4     1    15
  1.4245825290312550E-01 a        76     0     4     1    16
  4.2605910687705372E-03 a        77     0     4     1    17
 -5.8090849902926499E-03 a        78     0     4     1    18
 -6.3467594824539425E-02 a        79     0     4     1    19
  5.6591041484870236E-02 a        80     0     4     1    20
 -1.8997344127031904E-01 a        81     0     5     1     1
  1.0774998884643643E-01 a        82     0     5     1     2
  4.8565157461748137E-02 a        83     0     5     1     3
  8.3216355792980992E-02 a        84     0     5     1     4
  7.1628294363944245E-02 a        85     0     5     1     5
  1.4802758920271752E-01 a        86     0     5     1     6
 -1.3532189558749838E-01 a        87     0     5     1     7
  1.5101863043039673E-01 a        88     0     5     1     8
 -8.4373712250910601E-02 a        89     0     5     1     9
 -2.5746198001648152E-01 a        90     0     5     1    10
 -8.2713680942558321E-02 a        91     0     5     1    11
  3.0342458199096506E-02 a        92     0     5     1    12
