################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3526552451687902E-01 a         1     0     1     1     1
  3.0333519905952955E-01 a         2     0     1     1     2
 -1.4881095935497022E-02 a         3     0     1     1     3
 -4.9181609216611313E-02 a         4     0     1     1     4
  6.9824586092910423E-01 a         5     0     1     1     5
  1.2796318553915667E-01 a         6     0     1     1     6
 -2.0000388406833441E-01 a         7     0     1     1     7
 -5.9372668071372792E-01 a         8     0     1     1     8
  5.0322842032546589E-01 a         9     0     1     1     9
  2.3277860283149882E-01 a        10     0     1     1    10
 -7.4801598805987135E-02 a        11     0     1     1    11
  2.2462460760048192E-01 a        12     0     1     1    12
 -1.2802698644452268E-01 a        13     0     1     1    13
 -2.0564663477063949E-01 a        14     0     1     1    14
  1.6714534894544344E-01 a        15     0     1     1    15
  6.9862583835388625E-01 a        16     0     1     1    16
 -1.4347380783153385E-01 a        17     0     1     1    17
 -2.1189073311578469E-01 a        18     0     1     1    18
  6.2420016971250047E-02 a        19     0     1     1    19
 -3.2209350360995431E-01 a        20     0     1     1    20
 -1.8887775157669048E-01 a        21     0     2     1     1
 -5.6525225478875347E-02 a        22     0     2     1     2
  2.6782393980086505E-01 a        23     0     2     1     3
 -9.2917020795085681E-02 a        24     0     2     1     4
 -8.9201439592175483E-02 a        25     0     2     1     5
 -1.7439743457053444E-02 a        26     0     2     1     6
  9.0225638430233152E-02 a        27     0     2     1     7
  2.0698272500316481E-01 a        28     0     2     1     8
  8.3682106449964183E-02 a        29     0     2     1     9
  1.0702245301523311E-01 a        30     0     2     1    10
  1.7711438195834623E-03 a        31     0     2     1    11
  7.7361412745274666E-02 a        32     0     2     1    12
  5.3913076376729235E-02 a        33     0     2     1    13
 -1.0134642200375645E-01 a        34     0     2     1    14
  2.3412696097448834E-02 a        35     0     2     1    15
  1.2105265749210894E-01 a        36     0     2     1    16
  2.8897988733447161E-01 a        37     0     2     1    17
  7.3298592964807077E-02 a        38     0     2     1    18
 -1.0051473882987220E-02 a        39     0     2     1    19
  1.1978402760940919E-02 a        40     0     2     1    20
  3.4451816576722744E-01 a        41     0     3     1     1
  5.8577230023945182E-01 a        42     0     3     1     2
  6.5221499719893805E-01 a        43     0     3     1     3
  3.6937953496974679E-01 a        44     0     3     1     4
 -6.0595323843492047E-02 a        45     0     3     1     5
 -2.0768433943781521E-02 a        46     0     3     1     6
 -5.2840102454297622E-01 a        47     0     3     1     7
 -7.4419409318134544E-01 a        48     0     3     1     8
  2.1992217838998776E-01 a        49     0     3     1     9
  2.7938128842491128E-01 a        50     0     3     1    10
 -3.3003526982445699E-02 a        51     0     3     1    11
 -2.6521232757910834E-01 a        52     0     3     1    12
  2.9388059142777145E-01 a        53     0     3     1    13
  1.5920291780724807E-01 a        54     0     3     1    14
  5.1820313238578788E-02 a        55     0     3     1    15
 -3.8277550553992912E-01 a        56     0     3     1    16
  3.0754465132655045E-02 a        57     0     3     1    17
 -3.0922793008655969E-01 a        58     0     3     1    18
 -3.4867267780462446E-01 a        59     0     3     1    19
 -7.4136422706197269E-01 a        60     0     3     1    20
  3.3600023841101034E-01 a        61     0     4     1     1
  1.6043443645630809E-01 a        62     0     4     1     2
  1.3828333596492137E-01 a        63     0     4     1     3
  9.9737431369874155E-04 a        64     0     4     1     4
  7.4785071526753211E-01 a        65     0     4     1     5
 -1.0039118975066719E-01 a        66     0     4     1     6
 -1.7203602975745644E+00 a        67     0     4     1     7
 -6.0939488446817874E-02 a        68     0     4     1     8
 -7.7816114186502050E-01 a        69     0     4     1     9
 -7.3560802660060015E-02 a        70     0     4     1    10
  4.3636916601242012E-02 a        71     0     4     1    11
 -5.1544559320902232E-03 a        72     0     4     1    12
  4.4760461822828912E-01 a        73     0     4     1    13
 -5.4126642889789245E-01 a        74     0     4     1    14
  2.7290039850015940E-01 a        75     0     4     1    15
 -5.1899123219529342E-01 a        76     0     4     1    16
  6.5076027296441441E-01 a        77     0     4     1    17
  6.4198879407267248E-02 a        78     0     4     1    18
  3.0093445050172846E-01 a        79     0     4     1    19
  3.6720661407248223E-01 a        80     0     4     1    20
  7.3519040104991620E-02 a        81     0     5     1     1
 -1.5245295390343092E-01 a        82     0     5     1     2
 -9.6633212105978958E-02 a        83     0     5     1     3
  4.7623852390316711E-02 a        84     0     5     1     4
  3.2857542888417746E-01 a        85     0     5     1     5
 -4.2374427770598655E-01 a        86     0     5     1     6
  9.9051732957147910E-03 a        87     0     5     1     7
 -1.7569856242665713E-01 a        88     0     5     1     8
 -3.1355898961190198E-01 a        89     0     5     1     9
  1.6039785509221272E-01 a        90     0     5     1    10
  2.3262600940216238E-01 a        91     0     5     1    11
  3.5189936868386521E-03 a        92     0     5     1    12
 -5.9054795586094166E-02 a        93     0     5     1    13
 -2.4029609903457960E-01 a        94     0     5     1    14
  5.3740812333711446E-02 a        95     0     5     1    15
 -1.8569173996749325E-01 a        96     0     5     1    16
 -1.6809218819162380E-01 a        97     0     5     1    17
 -4.7722928389408542E-01 a        98     0     5     1    18
 -6.3697026540782714E-02 a        99     0     5     1    19
 -2.0915016204506359E-01 a       100     0     5     1    20
 -5.5232361113900519E-01 a       101     0     6     1     1
 -3.1017725885207242E-01 a       102     0     6     1     2
  2.5806022910196258E-01 a       103     0     6     1     3
  1.9177918946579658E-01 a       104     0     6     1     4
  5.4645603633653794E-01 a       105     0     6     1     5
 -3.7588326954042950E-01 a       106     0     6     1     6
  3.0467440379577826E-02 a       107     0     6     1     7
  2.6096258899639402E-01 a       108     0     6     1     8
 -5.6879284670896146E-01 a       109     0     6     1     9
 -1.0292735803448270E+00 a       110     0     6     1    10
  2.4524081417681950E-01 a       111     0     6     1    11
 -2.1107016365460080E-01 a       112     0     6     1    12
 -5.0991054441760120E-01 a       113     0     6     1    13
  8.7842398257724462E-03 a       114     0     6     1    14
  1.1973909096307135E-01 a       115     0     6     1    15
 -2.5964941717962642E-01 a       116     0     6     1    16
 -4.4937978292438258E-01 a       117     0     6     1    17
  1.1169071864867972E-01 a       118     0     6     1    18
  6.4770809466613954E-01 a       119     0     6     1    19
  1.7612569130033917E-01 a       120     0     6     1    20
  1.3869466572509670E-01 a       121     0     7     1     1
 -2.9829756758038428E-01 a       122     0     7     1     2
 -4.9316879060931818E-01 a       123     0     7     1     3
  1.6701847836466044E-01 a       124     0     7     1     4
 -1.6098771618467280E+00 a       125     0     7     1     5
 -5.9716734149763702E-02 a       126     0     7     1     6
  4.2608224877181722E-01 a       127     0     7     1     7
 -4.3757072166523650E-02 a       128     0     7     1     8
  4.6412614707276806E-01 a       129     0     7     1     9
  2.7209772982050867E-01 a       130     0     7     1    10
 -1.4760435065211283E-01 a       131     0     7     1    11
 -1.3840330555909391E-01 a       132     0     7     1    12
 -4.1346735443135302E-01 a       133     0     7     1    13
  5.2516219899064874E-02 a       134     0     7     1    14
  3.1061398466123025E-01 a       135     0     7     1    15
  5.3919841663870161E-01 a       136     0     7     1    16
 -1.4499945574317394E-01 a       137     0     7     1    17
 -3.2086735234909042E-02 a       138     0     7     1    18
 -6.6523143299641818E-01 a       139     0     7     1    19
 -6.7849780167936036E-01 a       140     0     7     1    20
  6.9905870999625891E-02 a       141     0     8     1     1
 -1.8189276876670257E-01 a       142     0     8     1     2
 -1.5579013928274899E-01 a       143     0     8     1     3
  2.4504985318760719E-01 a       144     0     8     1     4
 -2.3107925586951291E-02 a       145     0     8     1     5
 -6.6041106891519874E-02 a       146     0     8     1     6
  2.0611635516140839E-01 a       147     0     8     1     7
 -1.6979379948463746E-01 a       148     0     8     1     8
  2.8234544266089262E-01 a       149     0     8     1     9
  2.5859833803730292E-01 a       150     0     8     1    10
 -7.4655980567462463E-02 a       151     0     8     1    11
 -1.7416513257033661E-01 a       152     0     8     1    12
  4.3035156259852041E-02 a       153     0     8     1    13
  1.4639260487386785E-01 a       154     0     8     1    14
  2.9836939084619851E-01 a       155     0     8     1    15
  1.1457882760725291E-01 a       156     0     8     1    16
 -9.4396318730270337E-02 a       157     0     8     1    17
  5.7543566837165827E-02 a       158     0     8     1    18
  3.1979691384041881E-01 a       159     0     8     1    19
  7.7399834919326199E-02 a       160     0     8     1    20
  7.9553771119809796E-02 a       161     0     9     1     1
 -2.9016686721712998E-01 a       162     0     9     1     2
  4.2116130458639434E-02 a       163     0     9     1     3
  1.7945966727365953E-01 a       164     0     9     1     4
  1.8366127025033066E-01 a       165     0     9     1     5
 -4.0824122396670920E-01 a       166     0     9     1     6
  1.5763370902905643E-01 a       167     0     9     1     7
 -6.3371283480744511E-01 a       168     0     9     1     8
  2.1337510392041356E-01 a       169     0     9     1     9
 -5.2902449818184101E-02 a       170     0     9     1    10
  6.5123220512728480E-02 a       171     0     9     1    11
 -2.0281287803791959E-01 a       172     0     9     1    12
 -5.0726273203491723E-01 a       173     0     9     1    13
  3.3456154059367971E-01 a       174     0     9     1    14
  1.2599639969413134E-01 a       175     0     9     1    15
 -1.6075549734996922E-01 a       176     0     9     1    16
 -6.3809858907873787E-02 a       177     0     9     1    17
 -1.4093142495048172E-01 a       178     0     9     1    18
  1.7634996176347539E-01 a       179     0     9     1    19
 -2.4752637637334490E-01 a       180     0     9     1    20
  4.6085094158547411E-02 a       181     0    10     1     1
  3.9105135044947109E-01 a       182     0    10     1     2
  3.6430520078151629E-01 a       183     0    10     1     3
 -3.9832391897988545E-01 a       184     0    10     1     4
  1.0601752043070327E+00 a       185     0    10     1     5
  1.8464669527581251E-01 a       186     0    10     1     6
 -6.2097633117725308E-02 a       187     0    10     1     7
 -2.4183795346138692E-01 a       188     0    10     1     8
 -3.6931292837629826E-01 a       189     0    10     1     9
  4.2096104608289425E-01 a       190     0    10     1    10
 -4.7648619269186447E-02 a       191     0    10     1    11
  2.6025149178186469E-01 a       192     0    10     1    12
  5.0335885680216697E-01 a       193     0    10     1    13
 -3.0735661912373996E-01 a       194     0    10     1    14
  7.1033489888826851E-01 a       195     0    10     1    15
  2.4071441067103649E-01 a       196     0    10     1    16
  3.6768939087427316E-02 a       197     0    10     1    17
 -4.0625157566948228E-01 a       198     0    10     1    18
  6.2373848551759659E-01 a       199     0    10     1    19
  4.1525755342641918E-01 a       200     0    10     1    20
 -3.7890498921531707E-01 a       201     0    11     1     1
 -1.5296876896728324E-02 a       202     0    11     1     2
 -2.1966760421718171E-01 a       203     0    11     1     3
  1.3734488436477402E-01 a       204     0    11     1     4
 -6.6579205456374926E-02 a       205     0    11     1     5
  6.8211070435010041E-02 a       206     0    11     1     6
 -8.9048162864346428E-02 a       207     0    11     1     7
 -5.5351388139125442E-02 a       208     0    11     1     8
  3.6953679627394459E-02 a       209     0    11     1     9
  1.2704246728372109E-01 a       210     0    11     1    10
  2.1930051947520413E-01 a       211     0    11     1    11
 -7.7503933128183402E-03 a       212     0    11     1    12
 -5.4353470018171132E-02 a       213     0    11     1    13
  1.0838857338818164E-01 a       214     0    11     1    14
  2.1052985700825841E-01 a       215     0    11     1    15
 -1.5959426260787971E-01 a       216     0    11     1    16
  1.6117278206490765E-01 a       217     0    11     1    17
  1.1931078867764665E-01 a       218     0    11     1    18
  4.4356068545488014E-03 a       219     0    11     1    19
 -5.3337481014597676E-02 a       220     0    11     1    20
 -2.7300407247315756E-01 a       221     0    12     1     1
  1.1321051308613710E-01 a       222     0    12     1     2
 -1.0217710137468394E-01 a       223     0    12     1     3
 -2.2888087029666462E-01 a       224     0    12     1     4
  4.9273812885063550E-01 a       225     0    12     1     5
  3.1306110367308121E-01 a       226     0    12     1     6
  4.9296472028863496E-02 a       227     0    12     1     7
  1.4740282516369799E-01 a       228     0    12     1     8
 -4.7650738424313921E-01 a       229     0    12     1     9
 -7.1796445689839880E-02 a       230     0    12     1    10
  1.2401205620864306E-01 a       231     0    12     1    11
 -1.2633583319145006E-01 a       232     0    12     1    12
  7.9415109073855877E-02 a       233     0    12     1    13
  3.4566202621324943E-01 a       234     0    12     1    14
 -4.9750249208087394E-01 a       235     0    12     1    15
 -8.2666735657832863E-02 a       236     0    12     1    16
 -3.2048283166770136E-01 a       237     0    12     1    17
 -2.8020825268638350E-01 a       238     0    12     1    18
 -7.3355227416670443E-03 a       239     0    12     1    19
 -8.0004411459567187E-02 a       240     0    12     1    20
  1.9588805086168828E-01 a       241     0    13     1     1
  4.2933597146509669E-02 a       242     0    13     1     2
 -4.0376852810113906E-01 a       243     0    13     1     3
  3.6140497625667295E-01 a       244     0    13     1     4
 -7.7905510450351656E-01 a       245     0    13     1     5
 -5.5211212978168271E-02 a       246     0    13     1     6
 -4.0023009324360304E-01 a       247     0    13     1     7
 -3.0501103975380178E-01 a       248     0    13     1     8
  1.8230526458530302E-01 a       249     0    13     1     9
 -2.3154219478867102E-02 a       250     0    13     1    10
  1.4430911634738577E-01 a       251     0    13     1    11
 -1.5941143583145451E-01 a       252     0    13     1    12
 -3.5970147613749665E-01 a       253     0    13     1    13
  7.8249271872523445E-03 a       254     0    13     1    14
  2.1021881401227199E-01 a       255     0    13     1    15
  5.2336216489935111E-02 a       256     0    13     1    16
  2.2356639681375085E-01 a       257     0    13     1    17
  1.2180329269632053E-02 a       258     0    13     1    18
 -1.0653961581227106E-01 a       259     0    13     1    19
 -3.0111854473428368E-01 a       260     0    13     1    20
  2.1926634697900976E-01 a       261     0    14     1     1
 -4.5831991219889769E-02 a       262     0    14     1     2
 -9.1074561626087153E-02 a       263     0    14     1     3
 -5.4327743371405827E-02 a       264     0    14     1     4
  5.5983944595034127E-02 a       265     0    14     1     5
  1.4960726522745933E-03 a       266     0    14     1     6
  6.0715567522126521E-03 a       267     0    14     1     7
 -2.5077293040451443E-01 a       268     0    14     1     8
 -1.7197422883618493E-01 a       269     0    14     1     9
  3.2891113624767838E-03 a       270     0    14     1    10
  8.7259606500218037E-02 a       271     0    14     1    11
 -1.6861991348852308E-02 a       272     0    14     1    12
  1.7100886449702243E-01 a       273     0    14     1    13
 -1.8454914305317471E-01 a       274     0    14     1    14
 -3.0000959947824007E-02 a       275     0    14     1    15
 -8.4323594451054334E-02 a       276     0    14     1    16
  1.0443369716555036E-01 a       277     0    14     1    17
 -4.5193224965494105E-02 a       278     0    14     1    18
  1.4201564665037503E-01 a       279     0    14     1    19
 -8.8075099736630649E-02 a       280     0    14     1    20
  1.6767158518459876E-01 a       281     0    15     1     1
 -2.9296808339627628E-01 a       282     0    15     1     2
  1.2899507600759635E-01 a       283     0    15     1     3
  2.9958875172469618E-01 a       284     0    15     1     4
  6.0085720035022612E-02 a       285     0    15     1     5
 -4.7830452448413613E-01 a       286     0    15     1     6
  2.0771913903241515E-01 a       287     0    15     1     7
 -2.6030837713873323E-01 a       288     0    15     1     8
  2.3644746914368131E-01 a       289     0    15     1     9
 -4.1777261964929641E-01 a       290     0    15     1    10
 -1.1376446483865414E-01 a       291     0    15     1    11
 -3.5419410778877343E-02 a       292     0    15     1    12
 -1.4126136111813220E-01 a       293     0    15     1    13
  9.6912021190163095E-02 a       294     0    15     1    14
  1.7758188358213561E-01 a       295     0    15     1    15
 -2.0285139338691371E-01 a       296     0    15     1    16
  3.8680787337072434E-02 a       297     0    15     1    17
  6.0800640249574001E-01 a       298     0    15     1    18
  1.2468515476173733E-01 a       299     0    15     1    19
 -2.5228658138533006E-01 a       300     0    15     1    20
 -2.7045214469044532E-03 a       301     0    16     1     1
  1.3977397308826753E-01 a       302     0    16     1     2
  1.0306164866237602E-01 a       303     0    16     1     3
 -1.8111255100278711E-01 a       304     0    16     1     4
  2.6457254840790317E-01 a       305     0    16     1     5
  2.0745364469383379E-01 a       306     0    16     1     6
  2.1997904396385781E-01 a       307     0    16     1     7
  1.0049726196390382E-01 a       308     0    16     1     8
  1.3498938375409292E-04 a       309     0    16     1     9
  1.2651042332366039E-01 a       310     0    16     1    10
 -9.6147901559518453E-02 a       311     0    16     1    11
  1.6236829611578188E-01 a       312     0    16     1    12
  1.2134837568014151E-01 a       313     0    16     1    13
 -3.7276458365697859E-02 a       314     0    16     1    14
 -2.4124671895161667E-02 a       315     0    16     1    15
  5.7930064897699481E-02 a       316     0    16     1    16
 -3.2272906106026056E-01 a       317     0    16     1    17
 -2.5369087130587376E-01 a       318     0    16     1    18
  4.6351527844772408E-02 a       319     0    16     1    19
  2.8677290279391060E-01 a       320     0    16     1    20
 -1.2151798349579930E-01 a       321     0    17     1     1
 -1.7403451803866202E-01 a       322     0    17     1     2
  3.3262106132090991E-02 a       323     0    17     1     3
  1.3911628357610506E-01 a       324     0    17     1     4
 -6.2928424344979805E-02 a       325     0    17     1     5
 -1.7734708937868482E-01 a       326     0    17     1     6
 -2.1115971747072571E-03 a       327     0    17     1     7
  1.5453303093640849E-01 a       328     0    17     1     8
  1.2478809322663469E-01 a       329     0    17     1     9
 -2.0443616172160121E-02 a       330     0    17     1    10
 -6.5930098136615682E-03 a       331     0    17     1    11
 -4.7507194848054046E-02 a       332     0    17     1    12
 -8.3663046474636585E-02 a       333     0    17     1    13
  3.4878587154899077E-03 a       334     0    17     1    14
  1.6202651425062187E-01 a       335     0    17     1    15
 -2.4353989772228177E-02 a       336     0    17     1    16
  1.4839848681733789E-01 a       337     0    17     1    17
  3.5267823056467980E-02 a       338     0    17     1    18
