################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4224250920793713E-01 a         1     0     1     1     1
  6.9623084151410564E-01 a         2     0     1     1     2
 -2.1697453912023340E-01 a         3     0     1     1     3
 -1.2937390466621059E+00 a         4     0     1     1     4
 -7.5583242092435954E-01 a         5     0     1     1     5
  7.3326872937813287E-02 a         6     0     1     1     6
  2.9611630866236827E-01 a         7     0     1     1     7
 -2.8200113242036257E-01 a         8     0     1     1     8
 -1.4026903443727525E+00 a         9     0     1     1     9
  3.4716607512876435E-01 a        10     0     1     1    10
  6.9402334725322379E-01 a        11     0     1     1    11
  1.4411011425371606E-01 a        12     0     1     1    12
  2.7454516067977752E-01 a        13     0     1     1    13
 -3.3742619336086221E-01 a        14     0     1     1    14
 -3.4800894558551854E-01 a        15     0     1     1    15
  4.4881735491012936E-01 a        16     0     1     1    16
  1.9437778344963388E-01 a        17     0     1     1    17
  8.8597531036240817E-01 a        18     0     1     1    18
 -1.5580667547529464E-03 a        19     0     1     1    19
  7.9188689798041834E-02 a        20     0     1     1    20
 -1.6815031750819803E-01 a        21     0     2     1     1
  1.0163320777536124E-01 a        22     0     2     1     2
 -9.0003011103349559E-02 a        23     0     2     1     3
 -1.6249183737308578E-01 a        24     0     2     1     4
 -5.5542780408591688E-02 a        25     0     2     1     5
  7.4592586272491021E-04 a        26     0     2     1     6
 -8.1936709793565168E-02 a        27     0     2     1     7
  3.8921180733469146E-02 a        28     0     2     1     8
 -7.4831958528047901E-02 a        29     0     2     1     9
 -1.2768232559609365E-02 a        30     0     2     1    10
  1.3433723902654002E-01 a        31     0     2     1    11
 -1.9893292558500978E-02 a        32     0     2     1    12
  9.7899243421355267E-02 a        33     0     2     1    13
 -1.5616797713127850E-01 a        34     0     2     1    14
 -2.9991456660841562E-02 a        35     0     2     1    15
  1.8724604286741811E-01 a        36     0     2     1    16
 -2.4545103576024346E-01 a        37     0     2     1    17
  1.3923871928229095E-01 a        38     0     2     1    18
 -2.6475412267637521E-01 a        39     0     2     1    19
  1.3272887775665204E-01 a        40     0     2     1    20
 -2.0647085206289231E-02 a        41     0     3     1     1
