################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0175601773615875E-01 a         1     0     1     1     1
 -3.9092760888346806E-01 a         2     0     1     1     2
  2.4442611842733031E-01 a         3     0     1     1     3
 -3.0149846438538647E-01 a         4     0     1     1     4
 -2.6433778318778650E-01 a         5     0     1     1     5
  6.6960548541523557E-02 a         6     0     1     1     6
  1.7532081031431554E-01 a         7     0     1     1     7
 -1.1012103866572713E+00 a         8     0     1     1     8
 -2.5582552653670970E-01 a         9     0     1     1     9
  1.4598766891184851E+00 a        10     0     1     1    10
 -6.8262009756747033E-01 a        11     0     1     1    11
  1.5464301009346329E-01 a        12     0     1     1    12
 -6.8938482015024161E-01 a        13     0     1     1    13
 -8.6133232900980505E-01 a        14     0     1     1    14
 -1.6426877567564298E+00 a        15     0     1     1    15
  4.4229377654456270E-01 a        16     0     1     1    16
  2.3518868466212914E-02 a        17     0     1     1    17
  3.6357818444842943E-01 a        18     0     1     1    18
 -1.9253380184416122E+00 a        19     0     1     1    19
 -1.0918741606169263E-02 a        20     0     1     1    20
  6.3485972798548295E-03 a        21     0     2     1     1
 -2.2727990260854217E-01 a        22     0     2     1     2
  1.6044984857126030E-01 a        23     0     2     1     3
  8.2358800037728136E-02 a        24     0     2     1     4
  1.7071877651728362E-01 a        25     0     2     1     5
  1.7969223979401361E-01 a        26     0     2     1     6
  1.7025778731349417E-02 a        27     0     2     1     7
  1.3448561068450834E-01 a        28     0     2     1     8
  1.0447676530748751E-01 a        29     0     2     1     9
  2.5965213261654402E-01 a        30     0     2     1    10
 -1.3776167174320136E-01 a        31     0     2     1    11
 -5.2035195889506246E-02 a        32     0     2     1    12
 -1.8161262713640211E-01 a        33     0     2     1    13
 -2.7372872837982831E-01 a        34     0     2     1    14
  1.1793202311033903E-01 a        35     0     2     1    15
 -7.5896077528518364E-03 a        36     0     2     1    16
  1.8393145078826822E-01 a        37     0     2     1    17
 -1.3513978152570261E-01 a        38     0     2     1    18
 -1.8486342299268047E-01 a        39     0     2     1    19
  2.5194745834832449E-01 a        40     0     2     1    20
  5.2207135258294714E-02 a        41     0     3     1     1
 -1.8214691615220430E-01 a        42     0     3     1     2
 -1.5482363210140859E-01 a        43     0     3     1     3
  5.1594555521686314E-03 a        44     0     3     1     4
  1.3363251621103708E-01 a        45     0     3     1     5
 -4.2392075743004264E-02 a        46     0     3     1     6
 -7.4228027405950456E-02 a        47     0     3     1     7
  4.9042026106080001E-02 a        48     0     3     1     8
 -4.7779698870279406E-02 a        49     0     3     1     9
 -1.4964281291137327E-01 a        50     0     3     1    10
  1.6495309655619985E-02 a        51     0     3     1    11
  5.8098327797107295E-02 a        52     0     3     1    12
  5.2748532867108185E-02 a        53     0     3     1    13
  2.6111741956434162E-02 a        54     0     3     1    14
 -5.5006531660486682E-03 a        55     0     3     1    15
  1.0892284939371749E-01 a        56     0     3     1    16
 -7.2610925248154171E-02 a        57     0     3     1    17
 -5.5292340862936544E-02 a        58     0     3     1    18
 -2.3764762010518678E-01 a        59     0     3     1    19
 -1.1436522453845620E-01 a        60     0     3     1    20
  1.8376963966758336E-01 a        61     0     4     1     1
 -5.2899140013133428E-01 a        62     0     4     1     2
 -6.9543256719227187E-01 a        63     0     4     1     3
  1.5121082841545400E-01 a        64     0     4     1     4
  4.8268884706188359E-01 a        65     0     4     1     5
 -4.7225745502312517E-02 a        66     0     4     1     6
  1.0543305412823205E+00 a        67     0     4     1     7
 -6.5720272188071216E-01 a        68     0     4     1     8
  2.0506270145493233E-01 a        69     0     4     1     9
 -5.6060635602651421E-01 a        70     0     4     1    10
  1.6362701567097676E-01 a        71     0     4     1    11
 -4.1068331591182000E-01 a        72     0     4     1    12
 -2.4256424748930530E-01 a        73     0     4     1    13
  3.1052667476840989E-01 a        74     0     4     1    14
  4.9305041560271706E-01 a        75     0     4     1    15
  6.1263530465117511E-01 a        76     0     4     1    16
 -1.1362393748986392E+00 a        77     0     4     1    17
  6.8599262928715410E-01 a        78     0     4     1    18
 -6.0128437694690340E-01 a        79     0     4     1    19
  6.1872156900544026E-02 a        80     0     4     1    20
 -1.2660081360054767E-01 a        81     0     5     1     1
 -4.7277045127228851E-01 a        82     0     5     1     2
  2.3040424908464679E-01 a        83     0     5     1     3
  9.4207845950669034E-01 a        84     0     5     1     4
 -1.0144479776746227E+00 a        85     0     5     1     5
  9.1846862225563736E-02 a        86     0     5     1     6
 -6.5250827634218622E-01 a        87     0     5     1     7
  7.1163568768906327E-01 a        88     0     5     1     8
  6.9839890015751049E-01 a        89     0     5     1     9
 -1.0732387738724645E+00 a        90     0     5     1    10
  7.2060117734703966E-01 a        91     0     5     1    11
  4.8336196109059854E-01 a        92     0     5     1    12
  5.2659997400431403E-02 a        93     0     5     1    13
  6.7862229519082617E-01 a        94     0     5     1    14
  1.2461550017657022E+00 a        95     0     5     1    15
 -5.2634517776309730E-01 a        96     0     5     1    16
 -6.3448082989598609E-01 a        97     0     5     1    17
 -6.0875216928444476E-01 a        98     0     5     1    18
  8.8221657580492419E-01 a        99     0     5     1    19
  1.0105553943822090E-01 a       100     0     5     1    20
  3.0441257366973018E-01 a       101     0     6     1     1
 -1.9620707357235748E-01 a       102     0     6     1     2
 -8.6488520338856359E-02 a       103     0     6     1     3
  7.0414470038198340E-02 a       104     0     6     1     4
  7.1713257793363946E-02 a       105     0     6     1     5
 -1.4143445947526773E-01 a       106     0     6     1     6
  1.6634430732770905E-02 a       107     0     6     1     7
  2.8181003052260023E-01 a       108     0     6     1     8
 -1.4756885733315606E-01 a       109     0     6     1     9
 -1.7471150140632996E-02 a       110     0     6     1    10
 -1.5373191359298444E-01 a       111     0     6     1    11
  2.3258673693890861E-01 a       112     0     6     1    12
 -8.8873960132195520E-02 a       113     0     6     1    13
  1.5372684499204028E-01 a       114     0     6     1    14
  7.6506911574588790E-02 a       115     0     6     1    15
  2.4451520723264333E-01 a       116     0     6     1    16
 -4.7769075750152386E-02 a       117     0     6     1    17
  1.9818758895228644E-02 a       118     0     6     1    18
  3.0816695488893270E-01 a       119     0     6     1    19
 -1.4672592541117260E-01 a       120     0     6     1    20
 -4.3999014572939435E-02 a       121     0     7     1     1
  6.4361621447958497E-02 a       122     0     7     1     2
  9.1439966434390896E-02 a       123     0     7     1     3
 -9.6087624167766963E-03 a       124     0     7     1     4
  8.0458705958820737E-02 a       125     0     7     1     5
 -7.7906791719467530E-02 a       126     0     7     1     6
 -1.2262134317079616E-01 a       127     0     7     1     7
 -2.5781219582815906E-01 a       128     0     7     1     8
  4.8824653649250406E-02 a       129     0     7     1     9
  1.3026085824607872E-01 a       130     0     7     1    10
 -8.8946088147366736E-02 a       131     0     7     1    11
  2.4453603090042259E-01 a       132     0     7     1    12
  2.2035991455598973E-02 a       133     0     7     1    13
 -2.1628261773118736E-03 a       134     0     7     1    14
 -1.8475954713604051E-01 a       135     0     7     1    15
 -2.0046007132290378E-01 a       136     0     7     1    16
  1.2229166185541006E-01 a       137     0     7     1    17
  1.3890806732081906E-01 a       138     0     7     1    18
 -4.8674460227700896E-02 a       139     0     7     1    19
 -5.9301717135604080E-02 a       140     0     7     1    20
 -6.6419434374999120E-01 a       141     0     8     1     1
  5.1871091595104191E-01 a       142     0     8     1     2
  9.4415397232623099E-01 a       143     0     8     1     3
 -1.1961430655866421E+00 a       144     0     8     1     4
  2.9570800235683242E-01 a       145     0     8     1     5
 -2.1501622082236463E-01 a       146     0     8     1     6
 -2.6013205421030672E+00 a       147     0     8     1     7
 -1.6251949132044063E-01 a       148     0     8     1     8
 -3.6755744954517511E-01 a       149     0     8     1     9
 -5.3290688869755125E-02 a       150     0     8     1    10
 -4.6685041523539245E-01 a       151     0     8     1    11
