################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.5940848887887208E-02 a         1     0     1     1     1
  6.0926032871540151E-02 a         2     0     1     1     2
  9.9959921749451508E-02 a         3     0     1     1     3
  5.6663807214967679E-02 a         4     0     1     1     4
  5.2094754990704387E-02 a         5     0     1     1     5
 -1.0143807247581674E-01 a         6     0     1     1     6
  1.8416265333422011E-01 a         7     0     1     1     7
  8.0552638172518495E-02 a         8     0     1     1     8
  3.0024943003213311E-01 a         9     0     1     1     9
  1.0402594373175988E-01 a        10     0     1     1    10
  5.2335922809243644E-02 a        11     0     1     1    11
  3.4825967683297154E-02 a        12     0     1     1    12
 -1.3765288095458408E-01 a        13     0     1     1    13
  5.5443663201181936E-02 a        14     0     1     1    14
  1.9016255647240771E-01 a        15     0     1     1    15
 -9.2368635960626513E-02 a        16     0     1     1    16
 -1.3981453244776654E-01 a        17     0     1     1    17
  1.1304544722698361E-01 a        18     0     1     1    18
  5.8067556072365419E-02 a        19     0     1     1    19
  5.0014180557673482E-02 a        20     0     1     1    20
 -7.7565955172651302E-02 a        21     0     2     1     1
  2.4756389648237073E-01 a        22     0     2     1     2
 -6.9778945133034842E-02 a        23     0     2     1     3
  2.0517409283849744E-01 a        24     0     2     1     4
  2.2766490516501692E-02 a        25     0     2     1     5
 -2.1608339183497774E-01 a        26     0     2     1     6
 -4.8980485619885099E-02 a        27     0     2     1     7
 -3.2017948710638872E-02 a        28     0     2     1     8
 -9.5304002661872625E-02 a        29     0     2     1     9
  8.4723220774719742E-03 a        30     0     2     1    10
 -2.5579249323101377E-02 a        31     0     2     1    11
 -2.4894615328603498E-01 a        32     0     2     1    12
 -2.1173005917536045E-01 a        33     0     2     1    13
 -6.0549338888711481E-02 a        34     0     2     1    14
  1.2818155056066155E-01 a        35     0     2     1    15
 -2.0619799692615386E-02 a        36     0     2     1    16
 -1.2535040957420054E-01 a        37     0     2     1    17
  8.9028558725522691E-02 a        38     0     2     1    18
 -1.7576857390293674E-02 a        39     0     2     1    19
  7.3801643355408189E-02 a        40     0     2     1    20
  4.9790907728567774E-01 a        41     0     3     1     1
  1.8070186510095801E-01 a        42     0     3     1     2
 -3.8577936172933802E-01 a        43     0     3     1     3
  5.5759752314037000E-02 a        44     0     3     1     4
